Vial_Label,Haul Code,Fish_number,Length(mm),
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,15,9.19,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,16,7.13,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,17,9.28,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,18,6.9,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,19,8.28,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,20,9.35,
,,,,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,1,9.6,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,2,10.29,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,3,8.47,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,4,8.41,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,5,9.84,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,6,7.72,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,7,9.3,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,8,9.16,Gut region damaged
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,9,9.04,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,10,10.09,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,11,10.24,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,12,8.68,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,13,9.05,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,14,8.48,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,15,8.14,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,16,8.81,Tail section and head partially broken
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,17,7.18,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,18,8.14,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,19,7.95,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,20,7.25,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,21,9.01,Gut region slightly damaged
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,22,7.56,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,23,7.77,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,24,8.69,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,25,8.92,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,26,7.29,Gut region slightly damaged
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,27,8.35,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,28,7.22,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,29,7.53,"Entire body damaged, head and gut region severely damaged"
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,30,8.03,Measurement inaccurate; head detached from body
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,31,6.97,Gut region and lower jaw damaged
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,32,5.56,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,33,7.47,"Measurement inaccurate; body severely damaged and deformed, head detached from body"
,,,,
mezcalW19-20190307-NH-S2-MbD-Moc1-N2,319-1-2,1,8.78,
mezcalW19-20190307-NH-S2-MbD-Moc1-N2,319-1-2,2,8.4,
mezcalW19-20190307-NH-S2-MbD-Moc1-N2,319-1-2,3,8.69,
mezcalW19-20190307-NH-S2-MbD-Moc1-N2,319-1-2,4,8.98,
mezcalW19-20190307-NH-S2-MbD-Moc1-N2,319-1-2,5,10.31,
mezcalW19-20190307-NH-S2-MbD-Moc1-N2,319-1-2,6,9.86,
mezcalW19-20190307-NH-S2-MbD-Moc1-N2,319-1-2,7,8.71,
mezcalW19-20190307-NH-S2-MbD-Moc1-N2,319-1-2,8,9.47,
mezcalW19-20190307-NH-S2-MbD-Moc1-N2,319-1-2,9,10.19,
mezcalW19-20190307-NH-S2-MbD-Moc1-N2,319-1-2,10,6.09,
mezcalW19-20190307-NH-S2-MbD-Moc1-N2,319-1-2,11,9.2,
mezcalW19-20190307-NH-S2-MbD-Moc1-N2,319-1-2,12,6.49,
mezcalW19-20190307-NH-S2-MbD-Moc1-N2,319-1-2,13,7.97,
mezcalW19-20190307-NH-S2-MbD-Moc1-N2,319-1-2,14,8.01,
mezcalW19-20190307-NH-S2-MbD-Moc1-N2,319-1-2,15,7.97,
mezcalW19-20190307-NH-S2-MbD-Moc1-N2,319-1-2,16,6.23,
mezcalW19-20190307-NH-S2-MbD-Moc1-N2,319-1-2,17,5.83,
mezcalW19-20190307-NH-S2-MbD-Moc1-N2,319-1-2,18,3.32,
,,,,
mezcalW19-20190307-NH-S2-MbD-Moc1-N4,319-1-4,1,9.21,
