Cruise,Haul.no,Moc,Net.no,Transect,Station,Fish.no,Length(mm),notes 
SPECTRA_W23,305-4-4,4,4,GH,2,47,9.63,
SPECTRA_W23,305-4-4,4,4,GH,2,48,9.75,
SPECTRA_W23,305-4-4,4,4,GH,2,49,8.87,
SPECTRA_W23,305-4-4,4,4,GH,2,50,10.03,post-flexion
SPECTRA_W23,305-4-4,4,4,GH,2,51,9.63,post-flexion
SPECTRA_W23,305-4-4,4,4,GH,2,52,8.38,
SPECTRA_W23,305-4-4,4,4,GH,2,53,8.85,
SPECTRA_W23,305-4-4,4,4,GH,2,54,8.32,
SPECTRA_W23,305-4-4,4,4,GH,2,55,9.6,
SPECTRA_W23,305-4-4,4,4,GH,2,56,10.17,flexion
,,,,,,,,
SPECTRA_W23,306-1-0,1,0,GH,1,1,3.06,
SPECTRA_W23,306-1-0,1,0,GH,1,2,4.23,
SPECTRA_W23,306-1-0,1,0,GH,1,3,4.01,
SPECTRA_W23,306-1-0,1,0,GH,1,4,4.31,
SPECTRA_W23,306-1-0,1,0,GH,1,5,3.87,
SPECTRA_W23,306-1-0,1,0,GH,1,6,4.24,
SPECTRA_W23,306-1-0,1,0,GH,1,7,6.06,
SPECTRA_W23,306-1-0,1,0,GH,1,8,4.02,
SPECTRA_W23,306-1-0,1,0,GH,1,9,NA,damaged
SPECTRA_W23,306-1-0,1,0,GH,1,10,9.02,
SPECTRA_W23,306-1-0,1,0,GH,1,11,4.47,
SPECTRA_W23,306-1-0,1,0,GH,1,12,5,
SPECTRA_W23,306-1-0,1,0,GH,1,13,3.79,
SPECTRA_W23,306-1-0,1,0,GH,1,14,4.68,
SPECTRA_W23,306-1-0,1,0,GH,1,15,4.11,
SPECTRA_W23,306-1-0,1,0,GH,1,16,4.07,
SPECTRA_W23,306-1-0,1,0,GH,1,17,4.91,
SPECTRA_W23,306-1-0,1,0,GH,1,18,3.32,
SPECTRA_W23,306-1-0,1,0,GH,1,19,3.76,
SPECTRA_W23,306-1-0,1,0,GH,1,20,4.36,
SPECTRA_W23,306-1-0,1,0,GH,1,21,3.01,
SPECTRA_W23,306-1-0,1,0,GH,1,22,5.99,
SPECTRA_W23,306-1-0,1,0,GH,1,23,4.08,
SPECTRA_W23,306-1-0,1,0,GH,1,24,3.6,
SPECTRA_W23,306-1-0,1,0,GH,1,25,5.37,
SPECTRA_W23,306-1-0,1,0,GH,1,26,4.29,
SPECTRA_W23,306-1-0,1,0,GH,1,27,6.49,
SPECTRA_W23,306-1-0,1,0,GH,1,28,3.11,
SPECTRA_W23,306-1-0,1,0,GH,1,29,3.97,
SPECTRA_W23,306-1-0,1,0,GH,1,30,3.32,
SPECTRA_W23,306-1-0,1,0,GH,1,31,3.55,
SPECTRA_W23,306-1-0,1,0,GH,1,32,3.48,
SPECTRA_W23,306-1-0,1,0,GH,1,33,5.84,
SPECTRA_W23,306-1-0,1,0,GH,1,34,3.54,
SPECTRA_W23,306-1-0,1,0,GH,1,35,3.34,
SPECTRA_W23,306-1-0,1,0,GH,1,36,3.64,
SPECTRA_W23,306-1-0,1,0,GH,1,37,3.9,
SPECTRA_W23,306-1-0,1,0,GH,1,38,3.72,
SPECTRA_W23,306-1-0,1,0,GH,1,39,3.1,
SPECTRA_W23,306-1-0,1,0,GH,1,40,3.45,
SPECTRA_W23,306-1-0,1,0,GH,1,41,4.95,
SPECTRA_W23,306-1-0,1,0,GH,1,42,3.65,
SPECTRA_W23,306-1-0,1,0,GH,1,43,3.82,
SPECTRA_W23,306-1-0,1,0,GH,1,44,5.52,
SPECTRA_W23,306-1-0,1,0,GH,1,45,4.72,
SPECTRA_W23,306-1-0,1,0,GH,1,46,3.12,
SPECTRA_W23,306-1-0,1,0,GH,1,47,3.93,
SPECTRA_W23,306-1-0,1,0,GH,1,48,3.86,
SPECTRA_W23,306-1-0,1,0,GH,1,49,3.7,
SPECTRA_W23,306-1-0,1,0,GH,1,50,4.4,
SPECTRA_W23,306-1-0,1,0,GH,1,51,3.87,
SPECTRA_W23,306-1-0,1,0,GH,1,52,3.44,
SPECTRA_W23,306-1-0,1,0,GH,1,53,3.11,
SPECTRA_W23,306-1-0,1,0,GH,1,54,3.1,
SPECTRA_W23,306-1-0,1,0,GH,1,55,4.3,
SPECTRA_W23,306-1-0,1,0,GH,1,56,3.24,
SPECTRA_W23,306-1-0,1,0,GH,1,57,3.65,
SPECTRA_W23,306-1-0,1,0,GH,1,58,3.71,
SPECTRA_W23,306-1-0,1,0,GH,1,59,3.61,
SPECTRA_W23,306-1-0,1,0,GH,1,60,3.92,
