Cruise,Haul.no,Moc,Net.no,Transect,Station,Fish.no,Length(mm),notes ,
SPECTRA_W22,119-4-0,4,0,NH,2,5,8.05,,
SPECTRA_W22,119-4-0,4,0,NH,2,6,7.41,,
SPECTRA_W22,119-4-0,4,0,NH,2,7,10.64,post-flexion,
SPECTRA_W22,119-4-0,4,0,NH,2,8,7.85,,
SPECTRA_W22,119-4-0,4,0,NH,2,9,7.44,,
SPECTRA_W22,119-4-0,4,0,NH,2,10,11.14,post-flexion,
SPECTRA_W22,119-4-0,4,0,NH,2,11,12.37,post-flexion,
SPECTRA_W22,119-4-0,4,0,NH,2,12,14.46,post-flexion,
SPECTRA_W22,119-4-0,4,0,NH,2,13,6.66,,
SPECTRA_W22,119-4-0,4,0,NH,2,14,NA,damaged,
,,,,,,,,,
SPECTRA_W22,119-4-3,4,3,NH,2,1,11.79,post-flexion,
,,,,,,,,,
SPECTRA_W22,119-4-4,4,4,NH,2,1,4.89,,
SPECTRA_W22,119-4-4,4,4,NH,2,2,8.38,,
SPECTRA_W22,119-4-4,4,4,NH,2,3,13.91,post-flexion,
SPECTRA_W22,119-4-4,4,4,NH,2,4,11.86,post-flexion,
SPECTRA_W22,119-4-4,4,4,NH,2,5,12.58,post-flexion,
SPECTRA_W22,119-4-4,4,4,NH,2,6,14.38,post-flexion,
,,,,,,,,,
SPECTRA_W22,123-1-0,1,1,HH,2,1,6.85,,
,,,,,,,,,
SPECTRA_W22,123-1-3,1,3,HH,2,1,6.17,,
,,,,,,,,,
SPECTRA_W22,123-1-4,1,4,HH,2,1,3.7,,
SPECTRA_W22,123-1-4,1,4,HH,2,2,3.54,,
,,,,,,,,,
SPECTRA_W22,123-1-4*,1,4*,HH,2,1,9.83,damaged,
,,,,,,,,,
SPECTRA_W22,123-4-0,4,0,HH,2,1,9.75,post-flexion,
,,,,,,,,,
SPECTRA_W22,123-4-1,4,1,HH,2,1,12.79,post-flexion,
SPECTRA_W22,123-4-1,4,1,HH,2,2,9.5,post-flexion,
,,,,,,,,,
SPECTRA_W22,123-4-2,4,2,HH,2,1,12.97,post-flexion,
SPECTRA_W22,123-4-2,4,2,HH,2,2,11.59,post-flexion,
SPECTRA_W22,123-4-2,4,2,HH,2,3,13.83,post-flexion,
,,,,,,,,,
SPECTRA_W22,123-4-4,4,4,HH,2,1,13.47,post-flexion,
,,,,,,,,,
SPECTRA_W22,124-1-0,1,0,HH,1,1,3.49,,
SPECTRA_W22,124-1-0,1,0,HH,1,2,4.87,,
SPECTRA_W22,124-1-0,1,0,HH,1,3,5.55,,
SPECTRA_W22,124-1-0,1,0,HH,1,4,8.67,,
SPECTRA_W22,124-1-0,1,0,HH,1,5,8.25,post-flexion,
SPECTRA_W22,124-1-0,1,0,HH,1,6,11.53,post-flexion,
SPECTRA_W22,124-1-0,1,0,HH,1,7,12.69,post-flexion,
,,,,,,,,,
SPECTRA_W22,124-1-4,1,4,HH,1,1,4.46,,
SPECTRA_W22,124-1-4,1,4,HH,1,2,6.51,,
SPECTRA_W22,124-1-4,1,4,HH,1,3,8.51,,
SPECTRA_W22,124-1-4,1,4,HH,1,4,8.67,flexion,
SPECTRA_W22,124-1-4,1,4,HH,1,5,14.4,post-flexion,
,,,,,,,,,
SPECTRA_W22,124-1-4*,1,4*,HH,1,1,6.01,,
,,,,,,,,,
SPECTRA_W22,124-4-0,4,0,HH,1,1,NA,damaged,
SPECTRA_W22,124-4-0,4,0,HH,1,2,13.7,post-flexion,
,,,,,,,,,
SPECTRA_W22,124-4-4,4,4,HH,1,1,6.27,,
SPECTRA_W22,124-4-4,4,4,HH,1,2,9.33,,
SPECTRA_W22,124-4-4,4,4,HH,1,3,12.66,post-flexion,
SPECTRA_W22,124-4-4,4,4,HH,1,4,12.43,post-flexion,
SPECTRA_W22,124-4-4,4,4,HH,1,5,14.45,post-flexion,
SPECTRA_W22,124-4-4,4,4,HH,1,6,11.95,post-flexion,
,,,,,,,,,
SPECTRA_W22,125-4-0,4,0,RR,1,1,10.07,post-flexion,
,,,,,,,,,
SPECTRA_W22,126-4-0,4,0,RR,2,1,14.47,post-flexion,
SPECTRA_W22,126-4-0,4,0,RR,2,2,10.19,post-flexion,
,,,,,,,,,
SPECTRA_W22,126-4-4,4,4,RR,2,1,13.75,post-flexion,
,,,,,,,,,
SPECTRA_W22,127-4-0,4,0,RR,3,1,7.84,,
SPECTRA_W22,127-4-0,4,0,RR,3,2,11.71,post-flexion,
,,,,,,,,,
SPECTRA_W22,128-1-3,1,3,RR,4,1,14.47,post-flexion,
,,,,,,,,,
SPECTRA_W22,128-1-4,1,4,RR,4,1,5.27,,
,,,,,,,,,
SPECTRA_W22,128-4-0,4,0,RR,4,1,13.87,post-flexion,
SPECTRA_W22,128-4-0,4,0,RR,4,2,11.83,post-flexion,
,,,,,,,,,
SPECTRA_W22,128-4-3,4,3,RR,4,1,11.1,post-flexion,
SPECTRA_W22,128-4-3,4,3,RR,4,2,13.18,post-flexion,
SPECTRA_W22,128-4-3,4,3,RR,4,3,12.17,post-flexion,
SPECTRA_W22,128-4-3,4,3,RR,4,4,11.88,post-flexion,
SPECTRA_W22,128-4-3,4,3,RR,4,5,16.44,post-flexion,
SPECTRA_W22,128-4-3,4,3,RR,4,6,11.45,post-flexion,
