Vial_Label,Haul Code,Length(mm),
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.45,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,NA,severely damaged
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,8.45,flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,8.29,flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,NA,only tail section
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.82,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10.65,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,NA,severely damaged
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.26,flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.22,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,13.93,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.23,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,NA,severely damaged
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,11.48,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.82,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,8.56,flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,11.04,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.53,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,NA,severely damaged
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.52,flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,11.52,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.68,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.17,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10.92,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.06,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,NA,severely damaged
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.54,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10.07,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10.19,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10.42,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,8.29,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,8,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,7.4,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,7.42,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10.13,flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.08,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,11.05,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10.02,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10.43,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.51,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.08,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,11.68,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,11.04,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,7.96,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,8.71,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,8.91,flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.7,post-flexion
,,,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,10.32,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,11.3,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,9.18,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,8.64,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,8.93,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,9.77,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,8.58,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,9.17,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,8.4,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,8.67,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,8.96,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,8.17,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,7.74,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,8.98,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,9.19,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,7.13,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,9.28,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,6.9,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,8.28,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,9.35,
,,,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,9.6,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,10.29,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,8.47,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,8.41,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,9.84,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,7.72,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,9.3,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,9.16,Gut region damaged
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,9.04,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,10.09,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,10.24,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,8.68,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,9.05,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,8.48,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,8.14,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,8.81,Tail section and head partially broken
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,7.18,
