Cruise,date,Location,Transect,Station.,Net.no,moc.1.volume.m3,moc.4.volume.m3,time.start.GMT,time.end.GMT,notes
W19,190309,TR,MaD,2,2,236.7438662,946.9754654,17:39:11,17:43:48,
W19,190309,TR,MaD,2,3,308.8399116,1235.359647,17:43:49,17:49:55,
W19,190309,TR,MaD,2,4,321.3606898,1285.442759,17:49:56,17:56:30,
W19,190309,TR,MaD,3,0,241.1041597,964.4166388,19:21:15,19:27:41,
W19,190309,TR,MaD,3,1,289.3543552,1157.417421,19:27:42,19:32:51,
W19,190309,TR,MaD,3,2,225.9839816,903.9359261,19:32:52,19:36:50,
W19,190309,TR,MaD,3,3,374.2537788,1497.015115,19:36:51,19:43:38,
W19,190309,TR,MaD,3,4,283.2548742,1133.019497,19:43:39,19:48:52,
W19,190309,TR,MaD,4,0,273.2725749,1093.0903,21:32:06,21:38:53,
W19,190309,TR,MaD,4,1,193.7764964,775.1059858,21:38:54,21:42:32,
W19,190309,TR,MaD,4,2,333.7771648,1335.108659,21:42:33,21:49:05,
W19,190309,TR,MaD,4,3,183.5063118,734.0252469,21:49:06,21:52:31,
W19,190309,TR,MaD,4,4,216.6869134,866.7476533,21:52:32,21:57:21,
W19,190310,TR,MaD,5,0,290.833411,1163.333644,0:02:16,0:09:14,
W19,190310,TR,MaD,5,1,261.9662662,1047.865065,0:09:15,0:14:04,
W19,190310,TR,MaD,5,2,810.8439644,3243.375858,0:02:18,0:17:47,
W19,190310,TR,MaD,5,3,271.0673038,1084.269215,0:17:48,0:23:18,
W19,190310,TR,MaD,5,4,258.6878693,1034.751478,0:23:19,0:29:01,
W19,190310,TR,MaN,5,0,278.9781349,1115.912539,3:52:55,3:58:45,
W19,190310,TR,MaN,5,1,281.2250089,1124.900035,3:58:46,4:03:14,
W19,190310,TR,MaN,5,2,174.8805783,699.522313,4:03:15,4:06:10,
W19,190310,TR,MaN,5,3,137.382425,549.5297001,4:06:11,4:09:00,
W19,190310,TR,MaN,5,4,190.1440028,760.5760113,4:09:01,4:14:08,
W19,190310,TR,MaN,4,0,332.3686681,1329.474673,5:50:18,5:56:46,
W19,190310,TR,MaN,4,1,144.6434779,578.5739119,5:56:47,5:59:48,
W19,190310,TR,MaN,4,2,268.2346504,1072.938601,5:59:49,6:06:05,
W19,190310,TR,MaN,4,3,339.7334882,1358.933953,6:06:06,6:12:58,
W19,190310,TR,MaN,4,4,178.4044302,713.6177208,6:12:59,6:16:56,
W19,190310,TR,MaN,3,0,326.1499111,1304.599644,7:55:52,8:03:25,
W19,190310,TR,MaN,3,1,208.0167315,832.0669255,8:03:26,8:07:52,
W19,190310,TR,MaN,3,2,242.8977525,971.5910097,8:07:53,8:13:11,
W19,190310,TR,MaN,3,3,226.6313251,906.5253005,8:13:12,8:17:55,
W19,190310,TR,MaN,3,4,196.2772422,785.1089686,8:17:56,8:22:15,
W19,190310,TR,MaN,2,0,338.2825582,1353.130233,10:19:35,10:27:32,
W19,190310,TR,MaN,2,1,251.9908844,1007.963538,10:27:33,10:32:29,
W19,190310,TR,MaN,2,2,137.9600068,551.8400272,10:32:30,10:35:27,
W19,190310,TR,MaN,2,3,298.9779076,1195.91163,10:35:28,10:42:34,
W19,190310,TR,MaN,2,4,300.6415312,1202.566124,10:42:35,10:49:25,
W19,190310,TR,MaN,1,0,257.5698039,1030.279216,11:34:04,11:39:55,
W19,190310,TR,MaN,1,3,264.7919439,1059.167776,11:39:56,11:45:29,
W19,190310,TR,MaN,1,4,255.7934202,1023.173681,11:45:30,11:51:14,
W19,190311,TR,MbD,1,0,242.8026357,971.210543,15:56:41,16:02:21,
W19,190311,TR,MbD,1,3,255.5843968,1022.337588,16:02:22,16:07:55,
W19,190311,TR,MbD,1,4,287.5956612,1150.382645,16:07:56,16:14:08,
W19,190311,TR,MbD,2,0,361.8591749,1447.4367,17:15:44,17:24:14,
W19,190311,TR,MbD,2,1,267.7225846,1070.890338,17:24:15,17:30:09,
W19,190311,TR,MbD,2,2,174.2333049,696.9332194,17:30:10,17:33:50,
W19,190311,TR,MbD,2,3,284.7675517,1139.070207,17:33:51,17:39:55,
W19,190311,TR,MbD,2,4,244.9751444,979.900578,17:39:56,17:45:02,
W19,190311,TR,MbD,3,0,294.1844768,1176.737908,19:02:07,19:10:05,
W19,190311,TR,MbD,3,1,224.5273566,898.1094267,19:10:06,19:14:57,
W19,190311,TR,MbD,3,2,151.3066641,605.2266567,19:14:58,19:18:24,
W19,190311,TR,MbD,3,3,265.795921,1063.183684,19:18:25,19:24:46,
W19,190311,TR,MbD,3,4,318.5608725,1274.24349,19:24:47,19:31:49,
W19,190311,TR,MbD,4,0,310.2024203,1240.809682,21:03:03,21:11:36,
W19,190311,TR,MbD,4,1,225.1645061,900.658024,21:11:37,21:16:37,
W19,190311,TR,MbD,4,2,219.6473686,878.589474,21:16:38,21:21:26,
W19,190311,TR,MbD,4,3,248.428901,993.7156039,21:21:27,21:26:51,
W19,190311,TR,MbD,4,4,258.7286604,1034.914641,21:26:52,21:32:53,
W19,190311,TR,MbD,5,0,269.1137863,1076.455145,23:27:37,23:34:34,
W19,190311,TR,MbD,5,1,324.0805945,1296.322378,23:34:35,23:40:45,
W19,190311,TR,MbD,5,2,230.8715439,923.4861756,23:40:46,23:45:06,
W19,190311,TR,MbD,5,3,206.8573632,827.4294531,23:45:07,23:49:00,
W19,190311,TR,MbD,5,4,188.8170512,755.2682046,23:49:01,23:53:02,
W19,190312,TR,MbN,5,0,306.4278799,1225.71152,3:28:57,3:36:43,
W19,190312,TR,MbN,5,1,325.8543298,1303.417319,3:36:44,3:43:40,
W19,190312,TR,MbN,5,2,241.4273438,965.7093753,3:43:41,3:48:45,
W19,190312,TR,MbN,5,3,264.646688,1058.586752,3:48:46,3:54:28,
W19,190312,TR,MbN,5,4,271.3593208,1085.437284,3:54:29,4:00:08,
W19,190312,TR,MbN,4,0,335.2363323,1340.945329,5:24:59,5:33:35,
W19,190312,TR,MbN,4,1,245.080885,980.3235402,5:33:36,5:39:29,
W19,190312,TR,MbN,4,2,246.2736094,985.0944375,5:39:30,5:45:19,
W19,190312,TR,MbN,4,3,217.9180871,871.6723489,5:45:20,5:50:20,
W19,190312,TR,MbN,4,4,219.0838701,876.3354802,5:50:21,5:55:36,
W19,190312,TR,MbN,3,0,371.6207173,1486.48287,7:12:37,7:22:00,
W19,190312,TR,MbN,3,1,262.3095459,1049.238183,7:22:01,7:28:32,
W19,190312,TR,MbN,3,2,170.4846363,681.9385455,7:28:33,7:32:49,
W19,190312,TR,MbN,3,3,194.5742877,778.2971508,7:32:50,7:37:53,
W19,190312,TR,MbN,3,4,281.8036907,1127.214762,7:37:54,7:44:47,
W19,190312,TR,MbN,2,0,374.7761297,1499.104519,9:06:03,9:15:40,
W19,190312,TR,MbN,2,1,201.1758825,804.7035305,9:15:41,9:20:59,
