cruise,date,transect,station,location,Moc,Net,Haul,Length_mm,Notes
mezcalW18,20180223,NH,1,MbD,1,4,117-1-4,5.57,
mezcalW18,20180223,NH,1,MbD,1,4,117-1-4,4.8,
mezcalW18,20180223,NH,1,MbD,1,4,117-1-4,4.07,
mezcalW18,20180223,NH,1,MbD,1,4,117-1-4,6.06,
mezcalW18,20180223,NH,1,MbD,1,4,117-1-4,4.13,
mezcalW18,20180223,NH,1,MbD,1,4,117-1-4,4.29,
mezcalW18,20180223,NH,1,MbD,1,4,117-1-4,4.39,
mezcalW18,20180223,NH,1,MbD,1,4,117-1-4,4.3,
mezcalW18,20180223,NH,1,MbD,1,4,117-1-4,3.95,
mezcalW18,20180223,NH,1,MbD,4,3,117-4-3,5.66,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,8.29,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,9.05,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,8.13,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,9.12,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,10,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,9.54,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,9.11,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,9.54,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,6.26,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,8.72,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,9.86,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,NA,damaged
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,7.1,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,8.49,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,9.81,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,8.95,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,8.49,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,9.29,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,10.81,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,9.09,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,10.2,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,7.9,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,9.5,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,8.95,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,10.03,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,10.06,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,9.65,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,7.8,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,8.31,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,10.38,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,9.67,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,9.29,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,9.4,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,5.02,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,6.95,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,7.75,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,8.79,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,9.04,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,8.06,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,7.74,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,8.38,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,8.12,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,8.77,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,9.49,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,7,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,5.9,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,5.67,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,8,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,6.37,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,6.44,
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,NA,damaged
mezcalW18,20190223,NH,1,MbD,4,0,117-4-0,7.7,
