,cruise,date,transect,station,location,Moc,Net,Haul,Length_mm,Notes
330,mezcalW19,20190307,NH,2,MbD,1,4,319-1-4,6.83,
331,mezcalW19,20190307,NH,2,MbD,1,4,319-1-4,7.19,Gut region damaged
332,mezcalW19,20190307,NH,2,MbD,1,4,319-1-4,6.97,
333,mezcalW19,20190307,NH,2,MbD,1,4,319-1-4,NA,damaged
334,mezcalW19,20190307,NH,2,MbD,1,4,319-1-4,4.84,
335,mezcalW19,20190307,NH,2,MbD,1,4,319-1-4,4.48,
336,mezcalW19,20190307,NH,2,MbD,1,4,319-1-4,3.82,
337,mezcalW19,20190307,NH,2,MbD,1,4,319-1-4,3.71,
338,mezcalW19,20190307,NH,2,MbD,1,3,319-1-3,10.32,
339,mezcalW19,20190307,NH,2,MbD,1,3,319-1-3,9.57,
340,mezcalW19,20190307,NH,2,MbD,1,3,319-1-3,5.86,
341,mezcalW19,20190307,NH,2,MbD,1,3,319-1-3,11.78,
342,mezcalW19,20190307,NH,2,MbD,1,3,319-1-3,10.34,
343,mezcalW19,20190307,NH,2,MbD,1,3,319-1-3,9.96,
344,mezcalW19,20190307,NH,2,MbD,1,3,319-1-3,8.91,
345,mezcalW19,20190307,NH,2,MbD,1,3,319-1-3,9.31,
346,mezcalW19,20190307,NH,2,MbD,1,3,319-1-3,10.32,
347,mezcalW19,20190307,NH,2,MbD,1,3,319-1-3,10.95,
348,mezcalW19,20190307,NH,2,MbD,1,3,319-1-3,10.73,
349,mezcalW19,20190307,NH,2,MbD,1,3,319-1-3,10.16,
350,mezcalW19,20190307,NH,2,MbD,1,3,319-1-3,5.06,
351,mezcalW19,20190307,NH,2,MbD,1,3,319-1-3,9.73,
352,mezcalW19,20190307,NH,2,MbD,1,3,319-1-3,9.44,Missing an eye
353,mezcalW19,20190307,NH,2,MbD,1,3,319-1-3,10.91,
354,mezcalW19,20190307,NH,2,MbD,1,3,319-1-3,11.16,
355,mezcalW19,20190307,NH,2,MbD,1,3,319-1-3,8.16,
356,mezcalW19,20190307,NH,2,MbD,1,3,319-1-3,10.28,
357,mezcalW19,20190307,NH,2,MbD,1,3,319-1-3,7.18,
358,mezcalW19,20190307,NH,2,MbD,1,3,319-1-3,9.85,
359,mezcalW19,20190307,NH,2,MbD,1,3,319-1-3,8.62,
360,mezcalW19,20190307,NH,2,MbD,1,3,319-1-3,8.89,
